author,author_association,state,comments,pull_request,created_at,updated_at,closed_at,body,url,repo
davidchall,NONE,closed,0,https://github.com/tidyverse/ggplot2/pull/4785,2022-03-31T04:00:20Z,2022-04-14T14:48:42Z,2022-04-14T14:48:42Z,"This is a proof-of-concept to address #4783. There might be some context I'm missing here, so I'm interested to hear feedback before proceeding any further.

``` r
library(tidyverse)

p <- tibble(x = rnorm(1000, mean = 10)) %>%
  ggplot(aes(x)) +
  geom_density() +
  geom_function(fun = dnorm, args = list(mean = 10), color = ""red"")

p + scale_x_continuous(limits = c(1, NA))
```

![](https://i.imgur.com/zWKiIa1.png)

``` r
p + scale_x_log10(limits = c(1, NA))
```

![](https://i.imgur.com/lavm6ac.png)

``` r
p + scale_x_sqrt(limits = c(1, NA))
```

![](https://i.imgur.com/XO3Qogj.png)

<sup>Created on 2022-03-30 by the [reprex package](https://reprex.tidyverse.org) (v2.0.1)</sup>",https://github.com/tidyverse/ggplot2/pull/4785,ggplot2
flrd,CONTRIBUTOR,closed,1,https://github.com/tidyverse/ggplot2/pull/4779,2022-03-28T21:58:39Z,2022-03-30T15:52:29Z,2022-03-30T15:52:24Z,list(),https://github.com/tidyverse/ggplot2/pull/4779,ggplot2
teunbrand,CONTRIBUTOR,open,3,https://github.com/tidyverse/ggplot2/pull/4775,2022-03-24T20:20:26Z,2022-04-20T16:28:36Z,list(),"Apologies for submitting a PR that will not work (yet). It aims to fix #980.

In anticipation of https://github.com/r-lib/scales/pull/336, this PR implements (a version of) the fix suggested [here](https://github.com/tidyverse/ggplot2/issues/980#issuecomment-505455353) that has become viable thanks to the change in {scales}. 

Note that this PR will likely not pass the automated checks until the new {scales} version hits CRAN, at which point is seems a good idea to bump the required version in the description file.",https://github.com/tidyverse/ggplot2/pull/4775,ggplot2
teunbrand,CONTRIBUTOR,closed,1,https://github.com/tidyverse/ggplot2/pull/4774,2022-03-24T18:02:00Z,2022-04-19T22:06:50Z,2022-04-19T20:27:30Z,"This is a simple PR that adds some caution to the documentation of `position_stack()`, as per  #4731.",https://github.com/tidyverse/ggplot2/pull/4774,ggplot2
zeehio,NONE,open,1,https://github.com/tidyverse/ggplot2/pull/4765,2022-03-19T14:58:46Z,2022-04-19T20:29:30Z,list(),"This pull request improves ggplot2 error handling by using `conditionMessage(e)` instead of `e$message`.

Some error messages were not printed. See the following reprex, which assumes `hexbin` is NOT installed:

# Before:

We have no clue why the computation failed

``` r
#remove.packages(""hexbin"")
library(ggplot2)
plt1 <- ggplot(iris) + 
  geom_hex(aes(x = Sepal.Length, y = Sepal.Width))
#> Warning: Computation failed in `stat_binhex()`:
```

<sup>Created on 2022-03-19 by the [reprex package](https://reprex.tidyverse.org) (v2.0.1)</sup>


# After:

We know what to do, just install hexbin!

``` r
#remove.packages(""hexbin"")
library(ggplot2)
plt1<- ggplot(iris) + 
  geom_hex(aes(x = Sepal.Length, y = Sepal.Width))
#> Warning: Computation failed in `stat_binhex()`:
#> The package `hexbin` is required for `stat_binhex()`
```


<sup>Created on 2022-03-19 by the [reprex package](https://reprex.tidyverse.org) (v2.0.1)</sup>",https://github.com/tidyverse/ggplot2/pull/4765,ggplot2
mone27,CONTRIBUTOR,closed,3,https://github.com/tidyverse/ggplot2/pull/4764,2022-03-18T22:29:08Z,2022-04-19T20:45:32Z,2022-04-19T20:45:32Z,"Migrates the dynamic dots management (`...`) from `base::list` to `rlang::list2`, see #4752

The functions modified are the one of the Public API that accepts `...` as arguments.

In total 89 functions have been update, they include:

- `geom_*`
- `stat_*`
- `lims`, `expand_limits`
- `aes_`, `aes_string`
- `coord_map`
- `annatation`, `annotation_map`, `annotation_logticks`

Here there is the script that I have used to find the functions that use `...` with `list` [https://gist.github.com/mone27/285f022b9efbb4bc244acb6622f3411e](https://gist.github.com/mone27/285f022b9efbb4bc244acb6622f3411e)

The PR should be complete, possible additional steps are:

- document the use of `rlang` `...` [https://rlang.r-lib.org/reference/dyn-dots.html#add-dynamic-dots-support-in-your-functions](https://rlang.r-lib.org/reference/dyn-dots.html#add-dynamic-dots-support-in-your-functions). However, in `ggplot` most of the `...` are actually not documented.
- add some test for the dynamic dots support
",https://github.com/tidyverse/ggplot2/pull/4764,ggplot2
mrcaseb,NONE,closed,4,https://github.com/tidyverse/ggplot2/pull/4762,2022-03-17T13:28:33Z,2022-03-25T11:23:17Z,2022-03-23T17:42:02Z,"`grid::pointsGrob` allows shapes via the `pch` argument that is used in `GeomPoint`. Valid values are explained in `?points` where it is also explained that it is possible to use additional symbols when setting `par(font = 5)`. 

This PR adds a `fontface` aesthetic that allows setting the symbol font and activates additional point shapes. See examples below (the output images of the reprex are replaced with higher qualitiy images that are saved with ggsave). 

``` r
library(ggplot2)

df <- tidyr::crossing(x = 0:15, y = 0:15)
df$shape  <- 0:255

# Default fontface (""plain"") == 1
ggplot(df, aes(x = x, y = y)) +
  geom_point(shape = df$shape, size = 5, bg = ""grey"", fontface = 1) +
  geom_text(aes(label = shape), nudge_y = 0.45, size = 3) +
  scale_y_reverse() +
  theme_void()
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '26'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '27'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '28'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '29'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '30'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '31'
```

![plot_plain](https://user-images.githubusercontent.com/38586519/158818022-7d2c8bc6-9a14-425d-a3eb-e78aa126c0cc.png)


``` r
# Symbol fontface == 5
ggplot(df, aes(x = x, y = y)) +
  geom_point(shape = df$shape, size = 5, bg = ""grey"", fontface = 5) +
  geom_text(aes(label = shape), nudge_y = 0.45, size = 3) +
  scale_y_reverse() +
  theme_void()
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '26'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '27'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '28'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '29'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '30'
#> Warning in grid.Call.graphics(C_points, x$x, x$y, x$pch, x$size): unimplemented
#> pch value '31'
```

![plot_symbol](https://user-images.githubusercontent.com/38586519/158817995-bec35357-8643-421b-87ae-c1fa917cb1c8.png)


<sup>Created on 2022-03-17 by the [reprex package](https://reprex.tidyverse.org) (v2.0.1)</sup>

<details style=""margin-bottom:10px;"">
<summary>
Session info
</summary>

``` r
sessioninfo::session_info()
#> - Session info ---------------------------------------------------------------
#>  setting  value
#>  version  R version 4.1.2 (2021-11-01)
#>  os       Windows 10 x64 (build 19042)
#>  system   x86_64, mingw32
#>  ui       RTerm
#>  language en
#>  collate  German_Germany.1252
#>  ctype    German_Germany.1252
#>  tz       Europe/Berlin
#>  date     2022-03-17
#>  pandoc   2.14.0.3 @ C:/Program Files/RStudio/bin/pandoc/ (via rmarkdown)
#> 
#> - Packages -------------------------------------------------------------------
#>  package     * version    date (UTC) lib source
#>  assertthat    0.2.1      2019-03-21 [1] CRAN (R 4.1.0)
#>  backports     1.4.1      2021-12-13 [1] CRAN (R 4.1.2)
#>  cli           3.1.1      2022-01-20 [1] CRAN (R 4.1.2)
#>  colorspace    2.0-3      2022-02-21 [1] CRAN (R 4.1.2)
#>  crayon        1.5.0      2022-02-14 [1] CRAN (R 4.1.2)
#>  curl          4.3.2      2021-06-23 [1] CRAN (R 4.1.0)
#>  DBI           1.1.2      2021-12-20 [1] CRAN (R 4.1.1)
#>  digest        0.6.29     2021-12-01 [1] CRAN (R 4.1.2)
#>  dplyr         1.0.8      2022-02-08 [1] CRAN (R 4.1.2)
#>  ellipsis      0.3.2      2021-04-29 [1] CRAN (R 4.1.0)
#>  evaluate      0.15       2022-02-18 [1] CRAN (R 4.1.2)
#>  fansi         1.0.2      2022-01-14 [1] CRAN (R 4.1.1)
#>  farver        2.1.0      2021-02-28 [1] CRAN (R 4.1.0)
#>  fastmap       1.1.0      2021-01-25 [1] CRAN (R 4.1.0)
#>  fs            1.5.2      2021-12-08 [1] CRAN (R 4.1.1)
#>  generics      0.1.2      2022-01-31 [1] CRAN (R 4.1.2)
#>  ggplot2     * 3.3.5.9000 2022-03-17 [1] local
#>  glue          1.6.2      2022-02-24 [1] CRAN (R 4.1.2)
#>  gtable        0.3.0      2019-03-25 [1] CRAN (R 4.1.0)
#>  highr         0.9        2021-04-16 [1] CRAN (R 4.1.0)
#>  htmltools     0.5.2      2021-08-25 [1] CRAN (R 4.1.1)
#>  httr          1.4.2      2020-07-20 [1] CRAN (R 4.1.0)
#>  knitr         1.37       2021-12-16 [1] CRAN (R 4.1.1)
#>  labeling      0.4.2      2020-10-20 [1] CRAN (R 4.1.0)
#>  lifecycle     1.0.1      2021-09-24 [1] CRAN (R 4.1.1)
#>  magrittr      2.0.2      2022-01-26 [1] CRAN (R 4.1.2)
#>  mime          0.12       2021-09-28 [1] CRAN (R 4.1.1)
#>  munsell       0.5.0      2018-06-12 [1] CRAN (R 4.1.0)
#>  pillar        1.7.0      2022-02-01 [1] CRAN (R 4.1.2)
#>  pkgconfig     2.0.3      2019-09-22 [1] CRAN (R 4.1.0)
#>  purrr         0.3.4      2020-04-17 [1] CRAN (R 4.1.0)
#>  R.cache       0.15.0     2021-04-30 [1] CRAN (R 4.1.0)
#>  R.methodsS3   1.8.1      2020-08-26 [1] CRAN (R 4.1.0)
#>  R.oo          1.24.0     2020-08-26 [1] CRAN (R 4.1.0)
#>  R.utils       2.11.0     2021-09-26 [1] CRAN (R 4.1.1)
#>  R6            2.5.1      2021-08-19 [1] CRAN (R 4.1.0)
#>  reprex        2.0.1      2021-08-05 [1] CRAN (R 4.1.0)
#>  rlang         1.0.2      2022-03-04 [1] CRAN (R 4.1.2)
#>  rmarkdown     2.12       2022-03-02 [1] CRAN (R 4.1.2)
#>  rstudioapi    0.13       2020-11-12 [1] CRAN (R 4.1.0)
#>  scales        1.1.1.9000 2022-03-11 [1] Github (r-lib/scales@13b01f0)
#>  sessioninfo   1.2.2      2021-12-06 [1] CRAN (R 4.1.1)
#>  stringi       1.7.6      2021-11-29 [1] CRAN (R 4.1.1)
#>  stringr       1.4.0      2019-02-10 [1] CRAN (R 4.1.0)
#>  styler        1.6.2      2021-09-23 [1] CRAN (R 4.1.1)
#>  tibble        3.1.6      2021-11-07 [1] CRAN (R 4.1.1)
#>  tidyr         1.2.0      2022-02-01 [1] CRAN (R 4.1.2)
#>  tidyselect    1.1.2      2022-02-21 [1] CRAN (R 4.1.2)
#>  utf8          1.2.2      2021-07-24 [1] CRAN (R 4.1.0)
#>  vctrs         0.3.8      2021-04-29 [1] CRAN (R 4.1.0)
#>  withr         2.5.0      2022-03-03 [1] CRAN (R 4.1.2)
#>  xfun          0.30       2022-03-02 [1] CRAN (R 4.1.2)
#>  xml2          1.3.3      2021-11-30 [1] CRAN (R 4.1.1)
#>  yaml          2.3.5      2022-02-21 [1] CRAN (R 4.1.2)
#> 
#>  [1] C:/Users/.../Documents/R/win-library/4.1
#>  [2] C:/Users/.../Documents/R/R-4.1.2/library
#> 
#> ------------------------------------------------------------------------------
```

</details>
",https://github.com/tidyverse/ggplot2/pull/4762,ggplot2
hadley,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4760,2022-03-16T12:34:51Z,2022-04-20T22:31:03Z,2022-04-20T22:31:03Z,For #4756,https://github.com/tidyverse/ggplot2/pull/4760,ggplot2
mmhamdy,CONTRIBUTOR,closed,2,https://github.com/tidyverse/ggplot2/pull/4759,2022-03-16T04:48:19Z,2022-03-16T18:48:50Z,2022-03-16T18:48:47Z,"Replace the old `coord_equal()` function, mentioned in the example code, with `coord_fixed()`",https://github.com/tidyverse/ggplot2/pull/4759,ggplot2
mjskay,CONTRIBUTOR,closed,0,https://github.com/tidyverse/ggplot2/pull/4757,2022-03-15T21:49:30Z,2022-03-23T14:08:23Z,2022-03-23T14:08:23Z,"This PR closes #4732 by providing orientation-aware key glyphs for `geom_boxplot()`, `geom_crossbar()`, `geom_pointrange()`, and `geom_linerange()`.

For example, **before these changes**:

``` r
library(ggplot2)
library(patchwork)

df <- data.frame(
  middle = 1:2,
  lower = 0:1,
  upper = 2:3,
  min = -1:0,
  max = 3:4,
  group = c(""a"",""b"")
)

p <- ggplot(df, aes(
  x = middle,
  y = group,
  xmiddle = middle,
  xlower = lower,
  xupper = upper,
  xmin = min,
  xmax = max,
  color = group
))

(p + geom_boxplot(stat = ""identity"")) +
  (p + geom_crossbar()) +
  (p + geom_linerange()) +
  (p + geom_pointrange())
```

![](https://i.imgur.com/XVgfxdR.png)

<sup>Created on 2022-03-15 by the [reprex package](https://reprex.tidyverse.org) (v2.0.1)</sup>

**After these changes**:

![](https://i.imgur.com/93w2J2p.png)

Specifically, this PR:

- modifies `draw_key_boxplot()`, `draw_key_crossbar()`, and `draw_key_pointrange()` to be orientation-aware
- provides a new key glyph, `draw_key_linerange()`, which is an orientation-aware version of `draw_key_path()` (because `draw_key_path()` is used by other geoms whose legends should not be orientation-aware, I could not simply make `draw_key_path()` orientation aware).
- changes the key glyph of `geom_linerange()` to be `draw_key_linerange()` instead of `draw_key_path()`.
- adds tests for horizontal ~~and vertical~~ legends. ~~This might be too many graphical tests; I'm happy to reduce them --- perhaps by removing the vertical tests (the old behavior) and just leaving the horizontal ones.~~ I have condensed the visual tests down to just two for horizontal legends; I'm not sure there's a clear way to reduce them to fewer.

This PR **does not** add orientation-aware key glyphs to `geom_errorbar()` or `geom_errobarh()`, as these geoms consist of both horizontal and vertical lines, so it seemed reasonable to leave them as is. In fact, `geom_errorbarh()` already has the same key glyph as `geom_errorbar()` rather than one of the opposite orientation, corroborating my sense that the legends for these two geoms do not need to be orientation-aware.",https://github.com/tidyverse/ggplot2/pull/4757,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4750,2022-03-04T12:24:26Z,2022-04-26T08:20:47Z,2022-03-07T07:23:43Z,"Fix #4746 

This PR should not affect anything at all, but prepare for the deprecation of `default.stringsAsFactors()` in the next major release of R",https://github.com/tidyverse/ggplot2/pull/4750,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4748,2022-03-04T09:17:42Z,2022-03-07T07:41:32Z,2022-03-07T07:40:53Z,"Closes #4745 

This PR handles the ticked items in #4745. The remaining points in the 2022 will be handled in other PRs, the unticked parts of earlier years are decidedly ignored for ggplot2",https://github.com/tidyverse/ggplot2/pull/4748,ggplot2
hadley,MEMBER,closed,6,https://github.com/tidyverse/ggplot2/pull/4747,2022-03-02T23:23:12Z,2022-03-03T23:45:56Z,2022-03-03T23:45:20Z,list(),https://github.com/tidyverse/ggplot2/pull/4747,ggplot2
PPaccioretti,CONTRIBUTOR,closed,1,https://github.com/tidyverse/ggplot2/pull/4744,2022-02-27T20:52:15Z,2022-03-15T21:04:38Z,2022-03-15T21:04:37Z,fixed typo,https://github.com/tidyverse/ggplot2/pull/4744,ggplot2
gregleleu,NONE,open,0,https://github.com/tidyverse/ggplot2/pull/4737,2022-02-21T09:47:08Z,2022-03-23T14:10:00Z,list(),"Resolves #4372 
Adding a parameter to use the full width of the scale in scale_*_viridis_b functions.

",https://github.com/tidyverse/ggplot2/pull/4737,ggplot2
damonbayer,CONTRIBUTOR,closed,1,https://github.com/tidyverse/ggplot2/pull/4735,2022-02-18T00:57:35Z,2022-03-15T21:30:49Z,2022-03-15T21:30:47Z,This matches the styling of the mentions of `continuous_scale()` and `discrete_scale()`.,https://github.com/tidyverse/ggplot2/pull/4735,ggplot2
mjskay,CONTRIBUTOR,closed,1,https://github.com/tidyverse/ggplot2/pull/4734,2022-02-12T04:40:46Z,2022-03-16T18:51:57Z,2022-03-16T18:51:56Z,"This PR fixes #4614.

## The problem

For `geom_dotplot()` / the `dotstack` grob, the `(1 - x$stackratio) / 2` adjustment on these lines...

https://github.com/tidyverse/ggplot2/blob/c89c265a57fd71f8a0288ce81037296aadc0a012/R/grob-dotstack.r#L34-L42

...is there because otherwise when `stackratio != 1` and `stackdir = ""up""`, the base of the first dot in a stack will no longer touch the baseline. This is because `stackratio` will expand (or contract) the dot stack away (or towards) the origin. 

However, currently this adjustment only works correctly for `stackdir = ""up""`. For example, here is `stackdir = ""down""` (for other examples, see #4614):

```r
ggplot(data.frame(x = c(rep(1, 3), rep(2, 2))), aes(x)) +
  geom_dotplot(binwidth = 0.5, alpha = 0.5, stackdir = ""down"", stackratio = 1.5) +
  coord_fixed() +
  ylim(-2, 2) +
  xlim(0, 6)
```
![image](https://user-images.githubusercontent.com/6345019/153695945-90243584-8c56-4b7e-8015-9720c00f68d8.png)

Notice how the top dot in each stack does not touch `y = 0` as it should.

## The solution

The solution is that the `(1 - x$stackratio) / 2` adjustment needs to depend on `stackdir`:

- For `""up""`, it should remain `(1 - x$stackratio) / 2`
- For `""down""`, it should be reversed: `-(1 - x$stackratio) / 2`
- For `""center""` and `""centerwhole""`, it is unnecessary, and should be `0`.

This PR implements that change, and includes test cases to ensure the adjustment is correct when `stackratio < 1` and when `stackratio > 1`.",https://github.com/tidyverse/ggplot2/pull/4734,ggplot2
mikmart,CONTRIBUTOR,closed,6,https://github.com/tidyverse/ggplot2/pull/4721,2022-01-27T21:41:30Z,2022-03-15T14:38:52Z,2022-03-15T14:38:52Z,"Reference line geoms `geom_abline()`, `geom_hline()` and `geom_vline()` not working with `annotate()` has caused some recurring confusion (at least #1052, #2011, and #4719). Previous issues have been resolved with an acknowledgement, and a recommendation to use the geoms in question directly, instead.

To hopefully prevent further confusion, this PR:

* Documents the behaviour and recommendation in `annotate()`
* Adds a warning to `annotate()` when unsupported geoms are requested

Closes #4719.",https://github.com/tidyverse/ggplot2/pull/4721,ggplot2
eliocamp,CONTRIBUTOR,closed,1,https://github.com/tidyverse/ggplot2/pull/4720,2022-01-27T15:30:53Z,2022-03-14T21:20:10Z,2022-03-14T21:20:04Z,Closes #4651,https://github.com/tidyverse/ggplot2/pull/4720,ggplot2
PursuitOfDataScience,CONTRIBUTOR,closed,2,https://github.com/tidyverse/ggplot2/pull/4711,2022-01-04T15:25:05Z,2022-03-15T21:04:12Z,2022-03-15T21:04:09Z,"No need to add `\` before `$`.

![image](https://user-images.githubusercontent.com/54338793/148082093-44433f7f-c6bc-4a9c-a4fc-fe42a7ced254.png)

",https://github.com/tidyverse/ggplot2/pull/4711,ggplot2
tomsaunders98,NONE,closed,1,https://github.com/tidyverse/ggplot2/pull/4709,2022-01-03T17:03:57Z,2022-03-15T21:14:59Z,2022-03-15T21:14:58Z,"The guide_coloursteps function does not pass on raster or nbin options to the guide_colourbar function which work correctly (with ragg) when passed on. I'm not entirely sure if there is a reason why they aren't passed on but I thought it made sense to include them as options. 

I also updated the associated documentation for guide_colourbar to include explainers of the nbin and raster params, (taken from guide-colorbar).",https://github.com/tidyverse/ggplot2/pull/4709,ggplot2
teunbrand,CONTRIBUTOR,open,4,https://github.com/tidyverse/ggplot2/pull/4707,2021-12-28T22:57:06Z,2022-04-20T06:09:36Z,list(),"This is a simple fix for some warnings that are thrown when multiple modified aesthetics are used.
The warnings could be triggered with the reprex below. With this PR, these warnings won't be triggered.

``` r
# Reprexed before PR
library(ggplot2)
library(colorspace)

df <- data.frame(x = 1, y = 1, lab = ""test"")

ggplot(df, aes(x, y, label = lab)) +
  geom_label(
    aes(colour = stage(lab, after_scale = darken(colour, 0.3)),
        fill   = after_scale(lighten(colour, 0.5)))
  )
#> Warning: Duplicated aesthetics after name standardisation: NA
#> Warning: Duplicated aesthetics after name standardisation: NA
```

![](https://i.imgur.com/Tk7LIt4.png)

Effectively, the two chunks of code below take the names of the (modified) aesthetics twice.

https://github.com/tidyverse/ggplot2/blob/c89c265a57fd71f8a0288ce81037296aadc0a012/R/geom-.r#L146

https://github.com/tidyverse/ggplot2/blob/759c63c2fd9e00ba3322c1b74b227f63c98d2e06/R/aes.r#L168-L169

This surprisingly works well when there is only a single modified aesthetic, but not so much with multiple ones.

The following erroneous code (duplicated colour/color):
``` r
ggplot(df, aes(x, y, label = lab)) +
  geom_label(
    aes(colour = stage(lab, after_scale = darken(colour, 0.3)),
        color  = after_scale(lighten(color, 0.5)))
  )
```
Used to throw these warnings:
```
#> Warning: Duplicated aesthetics after name standardisation: colour
#> Warning: Duplicated aesthetics after name standardisation: NA
#> Warning: Duplicated aesthetics after name standardisation: NA
```
And now throws the following warnings:
```
#> Warning: Duplicated aesthetics after name standardisation: colour
#> Warning: Duplicated aesthetics after name standardisation: colour
#> Warning: Duplicated aesthetics after name standardisation: colour
```
",https://github.com/tidyverse/ggplot2/pull/4707,ggplot2
bkmgit,CONTRIBUTOR,closed,3,https://github.com/tidyverse/ggplot2/pull/4702,2021-12-22T04:11:56Z,2022-03-14T21:37:53Z,2022-03-14T21:37:53Z,list(),https://github.com/tidyverse/ggplot2/pull/4702,ggplot2
yutannihilation,MEMBER,closed,7,https://github.com/tidyverse/ggplot2/pull/4697,2021-12-14T01:00:12Z,2022-03-02T23:51:27Z,2022-03-02T23:51:20Z,"It seems pak-based workflow is ready to use now. Let's see if this works...

> > This is now possible with `?ignore` and `?ignore-before-r`: see some GHA oriented docs here-ish: https://github.com/r-lib/actions/tree/v2/setup-r-dependencies#ignoring-optional-dependencies-that-need-a-newer-r-version
https://github.com/r-lib/pak/issues/290#issuecomment-992400476",https://github.com/tidyverse/ggplot2/pull/4697,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4692,2021-12-08T14:09:40Z,2021-12-09T11:20:18Z,2021-12-09T07:19:38Z,Fix #4367 make sure that position_stack doesn't convert numeric NA to to logical NA,https://github.com/tidyverse/ggplot2/pull/4692,ggplot2
bkmgit,CONTRIBUTOR,closed,3,https://github.com/tidyverse/ggplot2/pull/4686,2021-11-27T08:43:42Z,2021-12-06T13:19:46Z,2021-12-06T13:19:45Z,"There is no original source for the data. OpenML indicates it is in the public domain,https://www.openml.org/d/42225

Related issue https://github.com/tidyverse/ggplot2/issues/4681",https://github.com/tidyverse/ggplot2/pull/4686,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4683,2021-11-24T13:13:15Z,2021-12-06T09:42:58Z,2021-12-06T09:41:23Z,"Fix #4495

Correctly declare min, xmax, ymin, and ymax as aes needing values",https://github.com/tidyverse/ggplot2/pull/4683,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4682,2021-11-24T12:22:49Z,2021-12-06T09:42:42Z,2021-12-06T09:31:16Z,"Fix #4509 

This adds a simple check in secondary axes for whether there is any range available to make the monotonity check on",https://github.com/tidyverse/ggplot2/pull/4682,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4676,2021-11-18T19:44:11Z,2021-11-24T08:21:31Z,2021-11-24T08:21:09Z,"Fix #4510 

This PR fixes a rare bug when the scale derives new limits to make the terminal bins equal size and these limits ends up being invalid for the given transformation (e.g. `log10`)",https://github.com/tidyverse/ggplot2/pull/4676,ggplot2
jan-glx,CONTRIBUTOR,closed,1,https://github.com/tidyverse/ggplot2/pull/4675,2021-11-18T16:20:57Z,2021-11-24T08:24:45Z,2021-11-24T08:22:56Z,list(),https://github.com/tidyverse/ggplot2/pull/4675,ggplot2
thomasp85,MEMBER,closed,0,https://github.com/tidyverse/ggplot2/pull/4674,2021-11-17T12:32:51Z,2021-11-24T08:26:21Z,2021-11-24T08:25:48Z,"Fix #4539 

This PR make it so that only file _or_ filename is passed on as argument to the custom device",https://github.com/tidyverse/ggplot2/pull/4674,ggplot2
